Question,Answer
Familiehockeytoernooi ,Exciting! Could you tell me where will it be happening?
TEST,Cool! Could you tell me where is it?
Sommerfest,Cool! Could you tell me where is it?
Verjaardag,That sounds great! Can you share the location of the event?
Mariage ,Sounds nice! Where is it?
30e verjaardag ,Sounds nice! Where is it?
90 Cumpleanos de mi abueli,Sounds nice! Where is it?
Verjaardagsfeest ,Sounds nice! Where is it?
Cumpleanos,Exciting! Could you tell me where will it be happening?
Begrafenis ,That sounds great! Can you share the location of the event?
Bruiloft jubileum,Exciting! Could you tell me where will it be happening?
bruiloft,That sounds great! Can you share the location of the event?
Buurtmarkt,Sounds nice! Where is it?
cumpleanos,Sounds nice! Where is it?
Koningsdag,Exciting! Could you tell me where will it be happening?
St. Patrick's Day,Exciting! Could you tell me where will it be happening?
Molenfeesten,Exciting! Could you tell me where will it be happening?
Motorclub feest,Cool! Could you tell me where is it?
Huwelijk,That sounds great! Can you share the location of the event?
Gastmuzikant biedt zich aan ,Exciting! Could you tell me where will it be happening?
Dispuutsgala,Exciting! Could you tell me where will it be happening?
Fiesta de asociacion de diablod,That sounds great! Can you share the location of the event?
Evento lanzamiento,Sounds nice! Where is it?
Receptie ,Cool! Could you tell me where is it?
Verjaardagsfeest ,Sounds nice! Where is it?
verjaardag,Exciting! Could you tell me where will it be happening?
Evenement van de VVUB (www.vvub.nl),That sounds great! Can you share the location of the event?
Boda,That sounds great! Can you share the location of the event?
Maandelijks muziek optreden in klein cafe in Gouda,Sounds nice! Where is it?
Fiesta privada,Exciting! Could you tell me where will it be happening?
Bruiloft,Cool! Could you tell me where is it?
Bruilloft,Cool! Could you tell me where is it?
Fiesta aniversario ,Exciting! Could you tell me where will it be happening?
Boda,Exciting! Could you tell me where will it be happening?
Bruilloft,Sounds nice! Where is it?
cumpleanos,That sounds great! Can you share the location of the event?
cumpleanos,Sounds nice! Where is it?
Sarah feest,Exciting! Could you tell me where will it be happening?
Concert,Sounds nice! Where is it?
Restaurante cenas,That sounds great! Can you share the location of the event?
Party,Cool! Could you tell me where is it?
Bar,Cool! Could you tell me where is it?
Cumpleanos ,That sounds great! Can you share the location of the event?
Boda,Exciting! Could you tell me where will it be happening?
Kneipenacht,Cool! Could you tell me where is it?
Verjaardagsfuif ,Cool! Could you tell me where is it?
Cumpleanos,That sounds great! Can you share the location of the event?
Geburtstag ,That sounds great! Can you share the location of the event?
Eindexamenfeest Zeevaartschool,Sounds nice! Where is it?
Despedida ,Exciting! Could you tell me where will it be happening?
Pasian di Prato in festa organizzato dalla Pro Loco di Pasian di Prato ,Sounds nice! Where is it?
BODA,That sounds great! Can you share the location of the event?
25 jarig Huwelijk ,Cool! Could you tell me where is it?
Festa popular e religiosa ,That sounds great! Can you share the location of the event?
Dorpscafe ierse avond,That sounds great! Can you share the location of the event?
Parkfestival zuid Berghuizen ,That sounds great! Can you share the location of the event?
Batizado ,Exciting! Could you tell me where will it be happening?
Fiesta,Cool! Could you tell me where is it?
Verjaardag,Exciting! Could you tell me where will it be happening?
Huwelijksjubileum ,Cool! Could you tell me where is it?
Hochzeit,Cool! Could you tell me where is it?
Tuinfeest,That sounds great! Can you share the location of the event?
Bruiloft,That sounds great! Can you share the location of the event?
A free community event 20:00-22:00,Cool! Could you tell me where is it?
koningsdag,Sounds nice! Where is it?
Jubileum Feest : Zoon 15 Dochter 10 15 Geregistreerd en 25 jaar samen ,That sounds great! Can you share the location of the event?
Birthday party ,Sounds nice! Where is it?
Verjaardag ,Exciting! Could you tell me where will it be happening?
Restaurante ,Cool! Could you tell me where is it?
40 jaar ,Exciting! Could you tell me where will it be happening?
Festa Major,Exciting! Could you tell me where will it be happening?
Bruiloft,Sounds nice! Where is it?
Convivencia personas mayores,That sounds great! Can you share the location of the event?
Cumpleanos,Sounds nice! Where is it?
40 jaar bestaan van jeugdbeweging Chiro Tsjoef ,That sounds great! Can you share the location of the event?
Buurtfeest ,That sounds great! Can you share the location of the event?
Fiesta privada de cumpleanos,That sounds great! Can you share the location of the event?
50 cumpleanos,Exciting! Could you tell me where will it be happening?
Verjaardag,Sounds nice! Where is it?
Terraza Bar,Sounds nice! Where is it?
Boda,That sounds great! Can you share the location of the event?
Evento familiar,Sounds nice! Where is it?
11 juli viering,Sounds nice! Where is it?
50 jaar tuinfeest,Exciting! Could you tell me where will it be happening?
Cumpleanos,Exciting! Could you tell me where will it be happening?
Concierto ,Exciting! Could you tell me where will it be happening?
Concierto ,Cool! Could you tell me where is it?
Social club,Cool! Could you tell me where is it?
Concierto,Sounds nice! Where is it?
Sets,Sounds nice! Where is it?
bruiloft,Exciting! Could you tell me where will it be happening?
Cumpleanos,That sounds great! Can you share the location of the event?
Achtergrond muziek restaurant,Cool! Could you tell me where is it?
biker festival harley days,That sounds great! Can you share the location of the event?
Dancingdiner ,Sounds nice! Where is it?
concierto,Cool! Could you tell me where is it?
70 ste Verjaardag ,Cool! Could you tell me where is it?
Huisfeest,Exciting! Could you tell me where will it be happening?
Tributo,That sounds great! Can you share the location of the event?
Diner bruiloft ,Sounds nice! Where is it?
Cumpleanos,Sounds nice! Where is it?
Cumpleanos,Exciting! Could you tell me where will it be happening?
bruiloft,That sounds great! Can you share the location of the event?
Verjaardag ,Cool! Could you tell me where is it?
50 jarige verjaardag,That sounds great! Can you share the location of the event?
Almuerzo ,Exciting! Could you tell me where will it be happening?
Verjaardag met dj,Sounds nice! Where is it?
50 jarig verjaardagsfeest,Exciting! Could you tell me where will it be happening?
Aniversario de 15 anos ,Exciting! Could you tell me where will it be happening?
Boda,Sounds nice! Where is it?
Boda ,Cool! Could you tell me where is it?
Bierfeesten,That sounds great! Can you share the location of the event?
Aperitivo,Sounds nice! Where is it?
Verjaardag ,Sounds nice! Where is it?
Matrimonio ,Exciting! Could you tell me where will it be happening?
Feest ,Cool! Could you tell me where is it?
Vlaamse / Schlager avond,Cool! Could you tell me where is it?
40 jarig jubileum ,That sounds great! Can you share the location of the event?
Boda,Sounds nice! Where is it?
Hochzeitsparty,That sounds great! Can you share the location of the event?
Buurtfeesten ,Sounds nice! Where is it?
Scouts feest met bbq,Sounds nice! Where is it?
Feest ,That sounds great! Can you share the location of the event?
De Brugse Luckies,That sounds great! Can you share the location of the event?
Concierto discoteca ,Sounds nice! Where is it?
sweet 16,That sounds great! Can you share the location of the event?
Buurtfestival ,Sounds nice! Where is it?
fiesta,Sounds nice! Where is it?
Boda,Cool! Could you tell me where is it?
Huisfeest ,Exciting! Could you tell me where will it be happening?
Concierto ,Cool! Could you tell me where is it?
Festa de Aniversario,Exciting! Could you tell me where will it be happening?
teambuilding,Sounds nice! Where is it?
Kermis ,Sounds nice! Where is it?
De Brugse Luckies,Exciting! Could you tell me where will it be happening?
Surprise party 50 ste verjaardag ,That sounds great! Can you share the location of the event?
Hochzeit- kirchliche Trauung ,That sounds great! Can you share the location of the event?
Sjorfest van scouts Ronse,That sounds great! Can you share the location of the event?
"Treffen van berijders van oude usa motorfietsen ( ook oudere mensen, geen rouwdouwers)",That sounds great! Can you share the location of the event?
Sorpresa ,That sounds great! Can you share the location of the event?
Evento,Sounds nice! Where is it?
Hochzeit,That sounds great! Can you share the location of the event?
Festival 50 jaar,Sounds nice! Where is it?
Studentengala,Sounds nice! Where is it?
Festa di compleanno,Cool! Could you tell me where is it?
verjaardag,Exciting! Could you tell me where will it be happening?
Jantar aniversario,Sounds nice! Where is it?
Hochzeit,Cool! Could you tell me where is it?
Hochzeit,Sounds nice! Where is it?
Bruiloft ,Sounds nice! Where is it?
Fiestas,Exciting! Could you tell me where will it be happening?
Pedida de mano,Cool! Could you tell me where is it?
Cumpleanos ,Sounds nice! Where is it?
receptie op huwelijk ,Exciting! Could you tell me where will it be happening?
Cumpleanos,Cool! Could you tell me where is it?
Barbacoa,Exciting! Could you tell me where will it be happening?
Concierto,Sounds nice! Where is it?
Feest de Intro,Cool! Could you tell me where is it?
jubileum,That sounds great! Can you share the location of the event?
Clubavond watersportvereniging ,Exciting! Could you tell me where will it be happening?
Verjaardag,That sounds great! Can you share the location of the event?
Opening nieuwe horeca zaak ,Exciting! Could you tell me where will it be happening?
50 jaar,Exciting! Could you tell me where will it be happening?
Feria de Abril ,That sounds great! Can you share the location of the event?
Primera comunion ,Cool! Could you tell me where is it?
test,That sounds great! Can you share the location of the event?
test,Sounds nice! Where is it?
Buurtfeesten ,Cool! Could you tell me where is it?
10 jaar jubileum,Sounds nice! Where is it?
Evenement scoutsleiding,Sounds nice! Where is it?
Concentracion motera,Sounds nice! Where is it?
Feest,Sounds nice! Where is it?
Amenizacion cocteles en jardin de hotel,Sounds nice! Where is it?
Galabal Studentenclub ,Cool! Could you tell me where is it?
Dorpsfeest ,Exciting! Could you tell me where will it be happening?
Tardeos ,That sounds great! Can you share the location of the event?
30+ fuif chiro Lochristi,That sounds great! Can you share the location of the event?
Boda,That sounds great! Can you share the location of the event?
Bruiloft,Sounds nice! Where is it?
verjaardag,Sounds nice! Where is it?
cumpleanos,Cool! Could you tell me where is it?
Amenizar cenas y Show,Exciting! Could you tell me where will it be happening?
Gooik zomert,Cool! Could you tell me where is it?
bruiloft,Sounds nice! Where is it?
Cumpleanos,That sounds great! Can you share the location of the event?
Bapteme ,Sounds nice! Where is it?
Carroza Fiestas,Sounds nice! Where is it?
Cumple ,Exciting! Could you tell me where will it be happening?
Ambiance pour restaurant auberge ,Sounds nice! Where is it?
